id,name,x,y,z,yaw,pitch,fov
observerCamera-1544ca9f-1c38-4557-b6b4-e0e7b33da1e3,Living room,33.332577,522.81775,249.91006,-1.9496019,0.11079909,1.0995574
observerCamera-27f6fa86-27ff-4d0d-ab8f-b6a6fba2656b,Exterior,-217.6286,1971.4019,169.76758,-2.7465963,0.03079813,1.0995574
observerCamera-4d8063ca-d65e-41f4-8d3d-ee25fd7c9364,Corridor,11.108456,290.31915,249.91006,-1.4696023,0.08079907,1.0995574
observerCamera-cd0326b9-348f-4169-ac1d-32df4816beda,Bedroom #1,652.1891,367.24875,249.91006,-0.9596023,0.17079917,1.0995574
observerCamera-1636ee27-31b7-46bf-9c41-d7fff4f677c9,Kitchen,30.05592,50.41938,264.1208,-1.061983,0.20079803,1.0995574
