POV,focus,anchor,position,target,fov,target_distance,status
H-01,hero,Living room,"120.0,500.0,180.0","330.0,470.0,140.0",1.12,215.87033144922904,TUNED_VISUAL_REVIEW
H-02,universal-search,Corridor/Living,"100.0,300.0,170.0","310.0,285.0,125.0",1.05,215.29050141610986,TUNED_VISUAL_REVIEW
H-03,featured-properties,Living room,"120.0,520.0,175.0","380.0,470.0,130.0",0.92,268.5609800399157,TUNED_VISUAL_REVIEW
H-04,map-gateway,Terrace/Exterior,"500.0,900.0,300.0","510.0,710.0,95.0",1.18,279.6873254189399,TUNED_VISUAL_REVIEW
H-05,government-housing,Corridor,"95.0,285.0,170.0","250.0,290.0,125.0",1.0,161.47755261955143,TUNED_VISUAL_REVIEW
H-06,mission,Living room,"520.0,540.0,175.0","330.0,470.0,135.0",1.06,206.39767440550293,TUNED_VISUAL_REVIEW
H-07,guide,Kitchen,"350.0,145.0,170.0","210.0,110.0,130.0",1.02,149.74979131871936,TUNED_VISUAL_REVIEW
H-08,safety,Bedroom #1,"735.0,500.0,175.0","850.0,470.0,130.0",0.98,127.08265027138835,TUNED_VISUAL_REVIEW
H-09,contact,Corridor/Exit,"300.0,330.0,175.0","430.0,500.0,130.0",1.08,218.68927728629038,TUNED_VISUAL_REVIEW
